Day,Door,Duration (m),Energy (kWh)
2022-10-26,Freezer,0.249999985098839,1.22436083575152
2022-10-26,Fridge,2.71666668355465,1.22436083575152
2022-10-26,Fridge + Freezer,2.9666666686534886,1.22436083575152
2022-10-27,Fridge + Freezer,5.016666278243067,2.55602444210909
2022-10-27,Fridge,4.21666592359543,2.55602444210909
2022-10-27,Freezer,0.800000354647636,2.55602444210909
2022-10-28,Freezer,2.88333378732204,2.071026397058
2022-10-28,Fridge,11.1666651070118,2.071026397058
2022-10-28,Fridge + Freezer,14.04999889433384,2.071026397058
2022-10-29,Freezer,3.9833365380764,2.34962472643219
2022-10-29,Fridge,27.5666633248329,2.34962472643219
2022-10-29,Fridge + Freezer,31.5499998629093,2.34962472643219
2022-10-30,Fridge + Freezer,18.1833346188068,3.22970267517306
2022-10-30,Fridge,16.3166673481464,3.22970267517306
2022-10-30,Freezer,1.8666672706604,3.22970267517306
2022-10-31,Fridge + Freezer,8.733334243297573,3.13417147807628
2022-10-31,Freezer,0.983332693576813,3.13417147807628
2022-10-31,Fridge,7.75000154972076,3.13417147807628
2022-11-07,Fridge,11.9000004976988,2.86774313786477
2022-11-07,Fridge + Freezer,13.78333166241647,2.86774313786477
2022-11-07,Freezer,1.88333116471767,2.86774313786477
2022-11-08,Freezer,1.6166652739048,2.38947985458858
2022-11-08,Fridge + Freezer,19.733333587646502,2.38947985458858
2022-11-08,Fridge,18.1166683137417,2.38947985458858
2022-11-09,Fridge + Freezer,24.116663262248018,2.70440819429196
2022-11-09,Freezer,2.21666604280472,2.70440819429196
2022-11-09,Fridge,21.8999972194433,2.70440819429196
2022-11-10,Fridge,14.233333915472,2.8417042761337
2022-11-10,Fridge + Freezer,16.09999917447564,2.8417042761337
2022-11-10,Freezer,1.86666525900364,2.8417042761337
2022-11-11,Fridge + Freezer,12.35000073909755,2.66969389028326
2022-11-11,Fridge,10.5499997735023,2.66969389028326
2022-11-11,Freezer,1.80000096559525,2.66969389028326
2022-11-12,Fridge + Freezer,13.033332377672231,2.73861287879348
2022-11-12,Fridge,11.6833316534758,2.73861287879348
2022-11-12,Freezer,1.35000072419643,2.73861287879348
2022-11-13,Fridge,13.0166658014059,2.60750044422895
2022-11-13,Freezer,0.433334335684776,2.60750044422895
2022-11-13,Fridge + Freezer,13.450000137090676,2.60750044422895
2022-11-14,Fridge,12.8833385556936,2.2699369437553
2022-11-14,Freezer,2.68333151936531,2.2699369437553
2022-11-14,Fridge + Freezer,15.566670075058909,2.2699369437553
2022-11-15,Fridge,15.0500001758337,2.82687337773107
2022-11-15,Freezer,2.65000037848949,2.82687337773107
2022-11-15,Fridge + Freezer,17.70000055432319,2.82687337773107
2022-11-16,Freezer,3.09999994933605,2.02887105264701
2022-11-16,Fridge,9.9999987334013,2.02887105264701
2022-11-16,Fridge + Freezer,13.09999868273735,2.02887105264701
2022-11-17,Freezer,1.98333330452442,2.91976157767251
2022-11-17,Fridge,17.949997857213,2.91976157767251
2022-11-17,Fridge + Freezer,19.93333116173742,2.91976157767251
2022-11-18,Fridge + Freezer,16.79999738931656,2.46609313875474
2022-11-18,Freezer,2.31666684150696,2.46609313875474
2022-11-18,Fridge,14.4833305478096,2.46609313875474
2022-11-19,Fridge + Freezer,18.46666574478153,2.52138266761489
2022-11-19,Freezer,1.35000072419643,2.52138266761489
2022-11-19,Fridge,17.1166650205851,2.52138266761489
2022-11-20,Freezer,1.19999952614307,2.02983666891307
2022-11-20,Fridge,9.09999892115593,2.02983666891307
2022-11-20,Fridge + Freezer,10.299998447299,2.02983666891307
2022-11-21,Fridge,6.78333342075348,2.00396810056306
2022-11-21,Fridge + Freezer,8.74999947845936,2.00396810056306
2022-11-21,Freezer,1.96666605770588,2.00396810056306
2022-11-22,Freezer,3.1666649132967,2.35597261239812
2022-11-22,Fridge,13.3666699379683,2.35597261239812
2022-11-22,Fridge + Freezer,16.533334851265,2.35597261239812
2022-11-23,Fridge + Freezer,15.69999732077121,2.68017519225217
2022-11-23,Freezer,1.76666714251041,2.68017519225217
2022-11-23,Fridge,13.9333301782608,2.68017519225217
2022-11-24,Freezer,2.29999892413616,2.78249981278963
2022-11-24,Fridge,20.3833320736885,2.78249981278963
2022-11-24,Fridge + Freezer,22.683330997824662,2.78249981278963
2022-11-25,Freezer,2.6333324611187,3.21691133255996
2022-11-25,Fridge,14.1833375394344,3.21691133255996
2022-11-25,Fridge + Freezer,16.8166700005531,3.21691133255996
2022-11-26,Fridge,7.749999538064,2.34669877736717
2022-11-26,Fridge + Freezer,9.95000034570694,2.34669877736717
2022-11-26,Freezer,2.20000080764294,2.34669877736717
2022-11-27,Freezer,1.81666620075703,2.08884830880091
2022-11-27,Fridge,9.56666842103004,2.08884830880091
2022-11-27,Fridge + Freezer,11.38333462178707,2.08884830880091
2022-11-28,Fridge + Freezer,14.74999979138377,2.34974458551072
2022-11-28,Freezer,2.13333182036877,2.34974458551072
2022-11-28,Fridge,12.616667971015,2.34974458551072
2022-11-29,Fridge + Freezer,18.883330821990942,2.59146427546665
2022-11-29,Fridge,12.9833326488733,2.59146427546665
2022-11-29,Freezer,5.89999817311764,2.59146427546665
2022-11-30,Fridge,11.4999993145466,2.87763588963859
2022-11-30,Freezer,1.80000096559525,2.87763588963859
2022-11-30,Fridge + Freezer,13.30000028014185,2.87763588963859
2022-12-01,Fridge + Freezer,4.266667664051055,1.68577035459392
2022-12-01,Freezer,0.866667330265045,1.68577035459392
2022-12-01,Fridge,3.40000033378601,1.68577035459392
2022-12-02,Fridge,4.70000132918358,1.89932499961518
2022-12-02,Freezer,0.716667473316193,1.89932499961518
2022-12-02,Fridge + Freezer,5.416668802499773,1.89932499961518
2022-12-03,Fridge,4.13333237171173,1.42152906169407
2022-12-03,Fridge + Freezer,5.06666600704193,1.42152906169407
2022-12-03,Freezer,0.9333336353302,1.42152906169407
2022-12-04,Fridge + Freezer,7.066663876175885,2.16624075396135
2022-12-04,Freezer,0.816666930913925,2.16624075396135
2022-12-04,Fridge,6.24999694526196,2.16624075396135
2022-12-05,Fridge,11.033331155777,1.77966975274868
2022-12-05,Freezer,0.96666544675827,1.77966975274868
2022-12-05,Fridge + Freezer,11.999996602535271,1.77966975274868
2022-12-06,Fridge + Freezer,7.76666946709156,2.09351619356275
2022-12-06,Freezer,1.31666623055935,2.09351619356275
2022-12-06,Fridge,6.45000323653221,2.09351619356275
2022-12-07,Fridge + Freezer,13.4833346307278,1.92308152931146
2022-12-07,Fridge,12.0000006258488,1.92308152931146
2022-12-07,Freezer,1.483334004879,1.92308152931146
2022-12-08,Fridge,4.06666740775108,1.68165064045452
2022-12-08,Freezer,0.316666290163994,1.68165064045452
2022-12-08,Fridge + Freezer,4.383333697915074,1.68165064045452
2022-12-09,Freezer,2.93333284556866,2.04017391579151
2022-12-09,Fridge + Freezer,11.383328586816791,2.04017391579151
2022-12-09,Fridge,8.44999574124813,2.04017391579151
2022-12-10,Fridge + Freezer,15.88333368301393,2.04081075153574
2022-12-10,Fridge,12.8999997675419,2.04081075153574
2022-12-10,Freezer,2.98333391547203,2.04081075153574
2022-12-11,Fridge + Freezer,4.73333314061165,1.63909916977063
2022-12-11,Fridge,4.09999988973141,1.63909916977063
2022-12-11,Freezer,0.633333250880241,1.63909916977063
2022-12-12,Fridge,12.1999981999397,2.05727713978998
2022-12-12,Freezer,1.76666580140591,2.05727713978998
2022-12-12,Fridge + Freezer,13.96666400134561,2.05727713978998
2022-12-13,Fridge + Freezer,6.06666661798954,1.59290869073421
2022-12-13,Fridge,4.80000011622906,1.59290869073421
2022-12-13,Freezer,1.26666650176048,1.59290869073421
2022-12-14,Fridge,5.86666569113731,1.65977422350124
2022-12-14,Freezer,0.0,1.65977422350124
2022-12-14,Fridge + Freezer,5.86666569113731,1.65977422350124
2022-12-15,Freezer,0.116666704416275,1.64991688972302
2022-12-15,Fridge + Freezer,8.316666483879086,1.64991688972302
2022-12-15,Fridge,8.19999977946281,1.64991688972302
2022-12-16,Fridge + Freezer,7.08333447575569,1.60409249769934
2022-12-16,Freezer,2.13333383202553,1.60409249769934
2022-12-16,Fridge,4.95000064373016,1.60409249769934
2022-12-17,Freezer,0.299999713897705,1.91692777846567
2022-12-17,Fridge,8.78332860767841,1.91692777846567
2022-12-17,Fridge + Freezer,9.083328321576115,1.91692777846567
2022-12-18,Freezer,0.766665190458298,1.55155638352744
2022-12-18,Fridge,6.1333342641592,1.55155638352744
2022-12-18,Fridge + Freezer,6.899999454617498,1.55155638352744
2022-12-19,Fridge,3.40000100433826,1.75044416753389
2022-12-19,Freezer,0.566666945815086,1.75044416753389
2022-12-19,Fridge + Freezer,3.966667950153346,1.75044416753389
2022-12-20,Freezer,0.0833328813314438,1.14896110834591
2022-12-20,Fridge + Freezer,2.983331903815274,1.14896110834591
2022-12-20,Fridge,2.89999902248383,1.14896110834591
2022-12-21,Freezer,0.0,1.44593702632338
2022-12-21,Fridge + Freezer,1.9333329051733,1.44593702632338
2022-12-21,Fridge,1.9333329051733,1.44593702632338
2022-12-22,Freezer,0.850000083446503,1.84175288700499
2022-12-22,Fridge,6.09999977052212,1.84175288700499
2022-12-22,Fridge + Freezer,6.949999853968623,1.84175288700499
2022-12-23,Fridge + Freezer,2.199998795986179,1.38742197097912
2022-12-23,Fridge,1.76666580140591,1.38742197097912
2022-12-23,Freezer,0.433332994580269,1.38742197097912
2022-12-24,Fridge + Freezer,0.0,0.930904218178242
2022-12-24,Fridge,0.0,0.930904218178242
2022-12-24,Freezer,0.0,0.930904218178242
2022-12-25,Fridge + Freezer,0.0,0.929990831891075
2022-12-25,Fridge,0.0,0.929990831891075
2022-12-25,Freezer,0.0,0.929990831891075
2022-12-26,Freezer,0.0,0.782658606421575
2022-12-26,Fridge,0.0,0.782658606421575
2022-12-26,Fridge + Freezer,0.0,0.782658606421575
2022-12-27,Fridge + Freezer,8.20000179111957,1.36391938740201
2022-12-27,Freezer,1.10000006854534,1.36391938740201
2022-12-27,Fridge,7.10000172257423,1.36391938740201
2022-12-28,Fridge + Freezer,0.0666669756174088,1.03317610851489
2022-12-28,Freezer,0.0,1.03317610851489
2022-12-28,Fridge,0.0666669756174088,1.03317610851489
2022-12-29,Freezer,0.200000256299973,0.873167221509665
2022-12-29,Fridge + Freezer,0.566666945815087,0.873167221509665
2022-12-29,Fridge,0.366666689515114,0.873167221509665
2022-12-30,Fridge + Freezer,0.9666654467582699,1.2013799774006
2022-12-30,Freezer,0.249999314546585,1.2013799774006
2022-12-30,Fridge,0.716666132211685,1.2013799774006
2022-12-31,Fridge,0.0833335518836975,0.489541945859045
2022-12-31,Fridge + Freezer,0.0833335518836975,0.489541945859045
2022-12-31,Freezer,0.0,0.489541945859045
2023-01-01,Freezer,1.46666541695595,1.09069525526986
2023-01-01,Fridge,4.55000080168247,1.09069525526986
2023-01-01,Fridge + Freezer,6.01666621863842,1.09069525526986
2023-01-02,Fridge,18.4000007808208,2.22922499999888
2023-01-02,Freezer,1.10000006854534,2.22922499999888
2023-01-02,Fridge + Freezer,19.500000849366142,2.22922499999888
2023-01-03,Fridge,12.3500020802021,2.40261041890718
2023-01-03,Freezer,0.9333336353302,2.40261041890718
2023-01-03,Fridge + Freezer,13.283335715532301,2.40261041890718
2023-01-04,Fridge,11.366668716073,1.94811388565116
2023-01-04,Freezer,0.966666117310524,1.94811388565116
2023-01-04,Fridge + Freezer,12.333334833383525,1.94811388565116
2023-01-05,Freezer,0.966668128967285,2.10957421975695
2023-01-05,Fridge,6.51666484773159,2.10957421975695
2023-01-05,Fridge + Freezer,7.483332976698875,2.10957421975695
2023-01-06,Freezer,0.966666117310524,2.06972700585499
2023-01-06,Fridge,5.73333643376827,2.06972700585499
2023-01-06,Fridge + Freezer,6.700002551078794,2.06972700585499
2023-01-07,Freezer,0.383333265781403,1.75440208504647
2023-01-07,Fridge,4.08333264291286,1.75440208504647
2023-01-07,Fridge + Freezer,4.466665908694263,1.75440208504647
2023-01-08,Freezer,1.44999951124191,1.95821972519495
2023-01-08,Fridge,12.4666674435139,1.95821972519495
2023-01-08,Fridge + Freezer,13.91666695475581,1.95821972519495
2023-01-09,Fridge,16.0499981045723,2.15590349464864
2023-01-09,Fridge + Freezer,17.08333186805249,2.15590349464864
2023-01-09,Freezer,1.03333376348019,2.15590349464864
2023-01-10,Fridge + Freezer,22.366668060421958,2.46587488936745
2023-01-10,Freezer,2.40000039339066,2.46587488936745
2023-01-10,Fridge,19.9666676670313,2.46587488936745
2023-01-11,Freezer,0.666667073965073,1.96031583452448
2023-01-11,Fridge + Freezer,7.616666927933693,1.96031583452448
2023-01-11,Fridge,6.94999985396862,1.96031583452448
2023-01-12,Fridge + Freezer,14.066668152809164,2.05910772533901
2023-01-12,Freezer,0.666665732860565,2.05910772533901
2023-01-12,Fridge,13.4000024199486,2.05910772533901
2023-01-13,Fridge + Freezer,7.316665202379223,1.84704566239379
2023-01-13,Fridge,6.8833315372467,1.84704566239379
2023-01-13,Freezer,0.433333665132523,1.84704566239379
2023-01-14,Fridge,4.91666682064533,1.58734572359025
2023-01-14,Freezer,0.249999985098839,1.58734572359025
2023-01-14,Fridge + Freezer,5.1666668057441685,1.58734572359025
2023-01-15,Fridge,12.6666650176048,1.99859953110963
2023-01-15,Fridge + Freezer,14.016667753458,1.99859953110963
2023-01-15,Freezer,1.3500027358532,1.99859953110963
2023-01-16,Fridge + Freezer,16.51666626334194,2.21966767100506
2023-01-16,Freezer,0.78333243727684,2.21966767100506
2023-01-16,Fridge,15.7333338260651,2.21966767100506
2023-01-17,Fridge + Freezer,13.183334246277802,1.85560769722313
2023-01-17,Freezer,0.850000083446503,1.85560769722313
2023-01-17,Fridge,12.3333341628313,1.85560769722313
2023-01-18,Fridge + Freezer,15.0500041991472,1.79367294320092
2023-01-18,Freezer,3.4333348274231,1.79367294320092
2023-01-18,Fridge,11.6166693717241,1.79367294320092
2023-01-19,Fridge,5.09999915957451,1.69038723093309
2023-01-19,Freezer,0.266666561365128,1.69038723093309
2023-01-19,Fridge + Freezer,5.366665720939638,1.69038723093309
2023-01-20,Fridge,7.74999886751175,1.6369658342924
2023-01-20,Fridge + Freezer,9.78333123028278,1.6369658342924
2023-01-20,Freezer,2.03333236277103,1.6369658342924
2023-01-21,Freezer,0.983332693576813,1.65605777491629
2023-01-21,Fridge,5.98333306610584,1.65605777491629
2023-01-21,Fridge + Freezer,6.966665759682653,1.65605777491629
2023-01-22,Fridge + Freezer,6.183332651853564,1.64001590732932
2023-01-22,Freezer,0.650000497698784,1.64001590732932
2023-01-22,Fridge,5.53333215415478,1.64001590732932
2023-01-23,Fridge + Freezer,6.883334219455719,1.70589760740213
2023-01-23,Fridge,6.81666724383831,1.70589760740213
2023-01-23,Freezer,0.0666669756174088,1.70589760740213
2023-01-24,Freezer,0.916666388511658,1.61525472401753
2023-01-24,Fridge + Freezer,10.566663667559627,1.61525472401753
2023-01-24,Fridge,9.64999727904797,1.61525472401753
2023-01-25,Fridge + Freezer,6.000001654028889,1.72768255801164
2023-01-25,Fridge,5.28333485126495,1.72768255801164
2023-01-25,Freezer,0.716666802763939,1.72768255801164
2023-01-26,Fridge,10.1166667789221,1.82301383573413
2023-01-26,Fridge + Freezer,10.683333724737187,1.82301383573413
2023-01-26,Freezer,0.566666945815086,1.82301383573413
2023-01-27,Freezer,2.04999960958958,2.04405225271024
2023-01-27,Fridge,13.7333346158266,2.04405225271024
2023-01-27,Fridge + Freezer,15.78333422541618,2.04405225271024
2023-01-28,Fridge + Freezer,11.433330997824685,1.87362979993634
2023-01-28,Freezer,0.716666132211685,1.87362979993634
2023-01-28,Fridge,10.716664865613,1.87362979993634
2023-01-29,Fridge,8.13333548605442,1.55531082827412
2023-01-29,Freezer,0.149999856948853,1.55531082827412
2023-01-29,Fridge + Freezer,8.283335343003273,1.55531082827412
2023-01-30,Fridge,10.5833322554827,2.03319638854936
2023-01-30,Freezer,2.63333380222321,2.03319638854936
2023-01-30,Fridge + Freezer,13.216666057705911,2.03319638854936
2023-01-31,Fridge,5.3333305567503,1.85588558230475
2023-01-31,Freezer,1.38333454728127,1.85588558230475
2023-01-31,Fridge + Freezer,6.71666510403157,1.85588558230475
2023-02-01,Freezer,1.5499996393919,2.32341278156452
2023-02-01,Fridge + Freezer,10.36666743457317,2.32341278156452
2023-02-01,Fridge,8.81666779518127,2.32341278156452
2023-02-02,Freezer,0.266667231917381,1.42786791495569
2023-02-02,Fridge,7.14999876916409,1.42786791495569
2023-02-02,Fridge + Freezer,7.416666001081471,1.42786791495569
