Drink,fl oz,Calories,Caffeine (mg),mg/ floz,Type,Release Year,Source
KOE Kombucha,12.0,35.0,15.0,1.2,Tea,,
Kombucha Tea,8.0,30.0,24.0,3.0,Tea,,
Lipton Iced Tea,20.0,110.0,25.0,1.2,Tea,,
Lipton Natural Energy Tea,8.0,0.0,75.0,9.4,Tea,,
Lipton Tea,8.0,0.0,55.0,6.9,Tea,,
Liquid Death Iced Tea,19.2,30.0,30.0,1.6,Tea,,
Master Brew Kombucha,15.2,60.0,76.0,5.0,Tea,,
Matcha Tea,8.0,0.0,64.0,8.0,Tea,,
McDonalds Sweet Tea,32.0,160.0,100.0,3.1,Tea,,
Morning Thunder Tea,8.0,0.0,45.0,5.6,Tea,,
Nestea Iced Tea,16.9,160.0,23.0,1.4,Tea,,
Oi Ocha Green Tea,16.9,5.0,60.0,3.6,Tea,,
Oregon Chai Tea,6.0,130.0,45.0,7.5,Tea,,
Pacific Chai,6.0,90.0,29.0,4.8,Tea,,
Peace Tea,23.0,150.0,23.0,1.0,Tea,,
PG Tips Black Tea,6.78,0.0,50.0,7.4,Tea,,
Pure Leaf Iced Tea,18.5,160.0,69.0,3.7,Tea,,
Sencha Green Tea Shot,6.4,0.0,40.0,6.2,Tea,,
Snapple Tea,16.0,150.0,37.0,2.3,Tea,,
SoBe Green Tea,20.0,200.0,7.0,0.3,Tea,,
Southern Sweet Tea,16.0,128.0,41.0,2.6,Tea,,
Taiwanese Milk Tea,16.0,299.0,151.0,9.4,Tea,,
Tazo Chai,8.0,0.0,47.0,5.9,Tea,,
Tea (Black),8.0,0.0,42.0,5.2,Tea,,
Tea (Decaf),8.0,0.0,4.0,0.5,Tea,,
Tea (Green),8.0,0.0,18.0,2.2,Tea,,
Tea (Herbal),8.0,0.0,0.0,0.0,Tea,,
Tea (Iced),8.0,0.0,47.0,5.9,Tea,,
Tea (Instant),8.0,0.0,40.0,5.0,Tea,,
Tea (Jasmine),8.0,0.0,25.0,3.1,Tea,,
Tea (Oolong),8.0,0.0,37.0,4.6,Tea,,
Tea (White),8.0,0.0,28.0,3.5,Tea,,
Teas' Tea Oolong,16.9,0.0,70.0,4.1,Tea,,
Teavana Tea,8.0,0.0,41.0,5.1,Tea,,
Tejava Iced Tea,12.0,0.0,50.0,4.2,Tea,,
