Drink,fl oz,Calories,Caffeine (mg),mg/ floz,Type
Red Thunder Energy Drink,12.0,156,120,10.0,energy drink
Redline Princess,8.0,0,300,37.5,energy drink
Redline Xtreme Energy Drink,8.0,0,316,39.5,energy drink
Reign Storm,12.0,10,200,16.7,energy drink
Reign Total Body Fuel,16.0,10,300,18.8,energy drink
Rip It Energy Drink,16.0,260,160,10.0,energy drink
Roaring Lion Energy Drink,8.0,100,77,9.6,energy drink
Rockstar Boom,16.0,280,160,10.0,energy drink
Rockstar Energy Drink (Original),16.0,250,160,10.0,energy drink
Rockstar Halo Infinite,16.0,250,240,15.0,energy drink
Rockstar Juiced,16.0,30,170,10.6,energy drink
Rockstar Organic Energy Drink,15.0,180,160,10.7,energy drink
Rockstar Punched,16.0,260,240,15.0,energy drink
Rockstar Pure Zero,16.0,20,240,15.0,energy drink
Rockstar Recovery,16.0,25,160,10.0,energy drink
Rockstar Sugar Free,16.0,25,160,10.0,energy drink
Rockstar Thermo ,16.0,0,300,18.8,energy drink
Rockstar Unplugged,8.0,0,80,10.0,energy drink
Rockstar XDurance,16.0,10,300,18.8,energy drink
Rockstar Zero Carb,16.0,25,240,15.0,energy drink
Rogue Energy Drink,16.0,5,200,12.5,energy drink
Rogue Energy Drink Mix,16.0,5,175,10.9,energy drink
RootJack Caffeinated Pirate Root Beer,12.0,200,120,10.0,energy drink
Rowdy Energy Drink,16.0,5,160,10.0,energy drink
Runa,12.0,0,150,12.5,energy drink
Rush! Energy Drink,8.3,120,80,9.6,energy drink
Ryse Fuel,16.0,0,200,12.5,energy drink
Sambazon Amazon Energy Drink,12.0,120,120,10.0,energy drink
Scheckters Energy Drink,8.46,78,80,9.5,energy drink
Slammers Energy Drink (EU),8.46,122,80,9.5,energy drink
Sneak Energy Drink Mix,16.0,12,150,9.4,energy drink
SoBe Energy Citrus,20.0,250,81,4.0,energy drink
Solimo Energy Drink,16.0,10,152,9.5,energy drink
Source 1899 (UK),8.46,58,80,9.5,energy drink
Soylent Stacked,11.16,180,100,9.0,energy drink
Spark Energy Drink Mix,8.0,15,120,15.0,energy drink
Speed Energy Fuel,16.0,240,186,11.6,energy drink
Spider Energy Drink,16.0,120,240,15.0,energy drink
Spike Hardcore Energy,16.0,0,350,21.9,energy drink
Spike Shooter,12.0,10,300,25.0,energy drink
Starbucks Triple Shot Energy,15.0,210,225,15.0,energy drink
Steaz Energy,12.0,140,100,8.3,energy drink
Strike Force Energy Drink Mix,16.91,0,160,9.5,energy drink
T-Virus Antidote,12.0,160,100,8.3,energy drink
Taurus Energy Drink,8.46,180,50,5.9,energy drink
TENZING Natural Energy,8.46,50,80,9.5,energy drink
Tiger Energy Drink,8.46,0,80,9.5,energy drink
Triton Energy Drink,16.0,15,200,12.5,energy drink
Tru Energy Wakeup,12.0,10,100,8.3,energy drink
True Lemon Energy Mix,16.0,0,120,7.5,energy drink
Tweaker Energy Drink,8.46,110,80,9.5,energy drink
Ugly Energy Water,16.0,0,160,10.0,energy drink
UPTIME Energy Drink,12.0,150,142,11.8,energy drink
USANA Rev3 Energy Drink,12.0,105,120,10.0,energy drink
V Energy Drink,8.45,116,78,9.2,energy drink
V8 +Energy Drink,8.0,140,80,10.0,energy drink
Venom Death Adder,16.0,160,160,10.0,energy drink
Virtue Clean Energy Beverage,8.46,8,80,9.5,energy drink
Viso Energy Drink,17.0,140,300,17.6,energy drink
Vuum,12.0,50,135,11.2,energy drink
Wild Tiger Energy Drink,8.36,125,75,9.0,energy drink
Wildcat Energy Drink (UK),8.46,115,80,9.5,energy drink
Wired X 3000 Energy Drink,16.0,220,185,11.6,energy drink
Wired X Berry Rush,16.0,220,95,5.9,energy drink
Wired X344 Energy Drink,16.0,220,344,21.5,energy drink
X Ray Energy Drink,8.46,125,79,9.3,energy drink
XL Energy Drink (EU),8.45,118,80,9.5,energy drink
XS Energy Drink,8.4,10,80,9.5,energy drink
Xyience Energy Drink,16.0,15,160,10.0,energy drink
Zest Sparkling Tea,12.0,60,135,11.2,energy drink
Zevia Energy Drink,12.0,0,120,10.0,energy drink
ZipFizz Energy Drink Mix,16.0,20,100,6.2,energy drink
Zoa Energy Drink,16.0,100,160,10.0,energy drink
5 Hour Energy,1.93,4,200,103.6,energy shot
5 Hour Energy Extra Strength,1.93,0,230,119.2,energy shot
7-Eleven Energy Shot,2.0,0,260,130.0,energy shot
Advocare Slam Energy Shot,2.0,10,120,60.0,energy shot
Balance Active Shot,2.0,80,100,50.0,energy shot
Balance Energy Shot,2.0,77,150,75.0,energy shot
Bang Shot,3.0,0,300,100.0,energy shot
Clif Shot Energy Gel,1.2,100,100,83.3,energy shot
DynaPep,0.14,0,100,714.3,energy shot
E6 Energy Shot,1.93,0,235,121.8,energy shot
Equip Pure Energy Shot,1.8,35,100,55.6,energy shot
Eternal Energy Extra Strength,1.93,0,280,145.1,energy shot
Eternal Energy Shot,1.93,0,230,119.2,energy shot
Forto Organic Coffee Shot,2.0,35,225,112.5,energy shot
Kaffn8 Liquified Caffeine,0.25,0,75,300.0,energy shot
Kirkland Energy Shot,2.0,5,180,90.0,energy shot
Mana Energy Potion,1.69,25,75,44.4,energy shot
Neu Nootropic Shot,2.0,0,350,175.0,energy shot
Nutramint Smart Serum,2.0,45,200,100.0,energy shot
Performance Caffeine ,2.0,0,180,90.0,energy shot
Phoenix Energy Shot,2.0,0,280,140.0,energy shot
Proper Wild Energy Shot,2.5,25,180,72.0,energy shot
Red Thunder Energy Shot,2.0,0,138,69.0,energy shot
Red Thunder Extra Strength,2.0,0,230,115.0,energy shot
Redline Max 300,2.5,0,300,120.0,energy shot
Redline Xtreme Shot,3.0,5,300,100.0,energy shot
Reed's Ginger Energize Shot,2.0,24,100,50.0,energy shot
Rip It Energy Shot,2.0,0,120,60.0,energy shot
Screamin Energy Max Hit,0.61,40,185,303.3,energy shot
Spike Energy Double Shot,4.26,0,350,82.2,energy shot
Stacker Extreme Energy Shot,2.0,0,205,102.5,energy shot
TruBrain Extra,1.0,25,100,100.0,energy shot
Tweaker Shot,2.0,0,275,137.5,energy shot
Vital 4U Liquid Energy,0.5,34,155,310.0,energy shot
Woke Up Energy Shot,1.93,0,225,116.6,energy shot
X-Mode Energy Shot,1.0,0,150,150.0,energy shot
Zombie Blood Energy Potion,3.4,25,80,23.5,energy shot
7 Eleven Brewed Coffee,16.0,5,280,17.5,coffee
Alpine Start Instant Coffee,8.0,0,120,15.0,coffee
Americano Coffee,12.0,5,154,12.8,coffee
Arby's Jamocha Shake,16.0,830,12,0.7,coffee
Barista Bros Iced Coffee,16.91,204,140,8.3,coffee
